title,link,date,summary
"Taking Stock: Market rally extends on 4th day; Nifty above 22,000, Sensex up 376 points",https://www.moneycontrol.com/news/business/markets/taking-stock-market-rally-extends-on-4th-day-nifty-above-22000-sensex-up-376-points-12290441.html,"February 16, 2024 04:26 PM IST","For the week, BSE Sensex and Nifty50 indices gained 1 percent each"
"Sensex gains led by auto, realty stocks; Nifty may hit new all-time high if global markets keep steady",https://www.moneycontrol.com/news/business/markets/sensex-gains-led-by-auto-realty-stocks-nifty-may-hit-new-all-time-high-if-global-markets-keep-steady-12289971.html,"February 16, 2024 03:38 PM IST","Though analysts expect rally to extend further in the absence of any major triggers overseas, they caution investors against overstretched valuations"
Reliance’s new energy biz value greater than half of Nifty 50 stocks,https://www.moneycontrol.com/news/business/stocks/reliances-new-energy-biz-value-greater-than-half-of-nifty-50-stocks-12269651.html,"February 16, 2024 02:44 PM IST","Reliance Industries' share price has touched a new high, surpassing a market capitalisation milestone of Rs 20 lakh crore earlier this week after remaining within a range for the past three years"
"Pharma stocks make strong moves on robust results, positive outlook; Natco zooms 14%",https://www.moneycontrol.com/news/business/stocks/pharma-stocks-make-strong-moves-on-robust-results-positive-outlook-natco-zooms-14-12288931.html,"February 16, 2024 02:27 PM IST","Shares of Natco, Glenmark and Aurobindo Pharma are up 14, 10 and 2 percent respectively in the session."
Buy Lumax Auto Technologies; target of Rs 540: Sharekhan,https://www.moneycontrol.com/news/business/stocks/buy-lumax-auto-technologies-target-of-rs-540-sharekhan-12289021.html,"February 16, 2024 02:42 PM IST","Sharekhan is bullish on Lumax Auto Technologies has recommended buy rating on the stock with a target price of Rs 540 in its research report dated February 15, 2024."
Buy NMDC; target of Rs 290: Sharekhan,https://www.moneycontrol.com/news/business/stocks/buy-nmdc-target-of-rs-290-sharekhan-12288881.html,"February 16, 2024 01:27 PM IST","Sharekhan is bullish on NMDC has recommended buy rating on the stock with a target price of Rs 290 in its research report dated February 15, 2024."
Tata Motors stock gains 3% on launch of new of CVs in South Africa,https://www.moneycontrol.com/news/business/markets/tata-motors-stock-gains-3-on-launch-of-new-of-cvs-in-south-africa-12288731.html,"February 16, 2024 01:27 PM IST","The Ultra T.9 and Ultra T.14 trucks are outfitted with parabolic suspension, enhancing durability and operations"
LIVE: Sugar prices down 5% this week | Are we staring at a sugar deficit? | Commodities Corner,https://www.moneycontrol.com/news/videos/business/earnings/live-sugar-prices-down-5-this-week-are-we-staring-at-a-sugar-deficit-commodities-corner-12288631.html,"February 16, 2024 01:16 PM IST","Sugar prices may have seen a 10% uptick in 2024 till date however, the last week has seen a 5% slump in sugar prices. What's causing this pain. While India is the 2nd largest producer of Sugar and is likely to drive growth, it is not included in the global market. Manisha Gupta discusses the prospects of sugar prices going ahead with Rahil Shaikh MD, MEIR Commodities on Commodities Corner"
Buy Hampton Sky Realty; target of Rs 70: Profitmart,https://www.moneycontrol.com/news/business/stocks/buy-hampton-sky-realty-target-of-rs-70-profitmart-12288671.html,"February 16, 2024 02:42 PM IST","Profitmart is bullish on Hampton Sky Realty has recommended buy rating on the stock with a target price of Rs 70 in its research report dated February 16, 2024."
Subscribe to Kalahridhaan Trendz Ltd: Profitmart,https://www.moneycontrol.com/news/business/stocks/subscribe-to-kalahridhaan-trendz-ltd-profitmart-12288571.html,"February 16, 2024 02:27 PM IST","Profitmart, has come out with its report on Kalahridhaan Trendz Ltd. The research firm has recommended to “ Subscribe ” the ipo in its research report as on February 16 2024."
"As Nifty touches 22,000, here are 3 breakout stocks worth looking at",https://www.moneycontrol.com/news/business/stocks/as-nifty-touches-22000-here-are-3-breakout-stocks-worth-looking-at-12286981.html,"February 16, 2024 01:27 PM IST","Auto and healthcare indices were up a percent each, while the power index was down 0.3 percent in the afternoon trade"
Subscribe to Esconet Technologies Ltd: Profitmart,https://www.moneycontrol.com/news/business/stocks/subscribe-to-esconet-technologies-ltd-profitmart-12288251.html,"February 16, 2024 01:26 PM IST","Profitmart, has come out with its report on Esconet Technologies Ltd. The research firm has recommended to “ Subscribe ” the ipo in its research report as on February 16 2024."
Glenmark Pharma zooms 10% on positive management commentary,https://www.moneycontrol.com/news/business/markets/glenmark-pharma-zooms-10-on-positive-management-commentary-12287901.html,"February 16, 2024 01:26 PM IST",Glenmark Pharma aims to turn cash positive by the end of the current fiscal. The drugmaker also expects respiratory and injectables to be the major contributors in FY25
"Mid-day Mood | Nifty, Sensex inch higher on buying in auto stocks, focus on fundamentals",https://www.moneycontrol.com/news/business/markets/mid-day-mood-nifty-sensex-inch-higher-on-buying-in-auto-stocks-focus-on-fundamentals-12287941.html,"February 16, 2024 12:19 PM IST","Nifty is now close to its all-time high, we expect it to surpass this level and touch new highs, said Siddhartha Khemka, Head - Retail Research, Motilal Oswal Financial Services"
M&M shares rise 5% to 52-week high on supply deal with Volkswagen,https://www.moneycontrol.com/news/business/markets/mm-shares-rise-3-to-52-week-high-on-supply-deal-with-volkswagen-12287071.html,"February 16, 2024 06:25 PM IST","Mahindra will be the first external partner to use the groundbreaking unified cell concept, the core element of Volkswagens battery strategy."
Temasek divests 1.1% stake in Medanta for Rs 395 crore: Report,https://www.moneycontrol.com/news/business/stocks/temasek-divests-1-1-stake-in-medanta-for-rs-395-crore-report-12286481.html,"February 16, 2024 11:33 AM IST",Temasek invested about Rs 700 crore in January 2015 to acquire almost 18% stake in the hospital chain
"Entero Healthcare lists with 2.3% discount: Should you buy more, hold, or sell the stock?",https://www.moneycontrol.com/news/business/ipo/entero-healthcare-lists-with-2-3-premium-should-you-buy-more-hold-or-sell-the-stock-12286941.html,"February 16, 2024 11:59 AM IST",Entero Healthcare Solutions IPO: The debut missed analysts' expectations of a 2 percent premium as the IPO had failed to attract investors with the issue getting subscribed only 1.53 times
"IPCA Labs jumps 4%, analysts positive after in-line Q3 results",https://www.moneycontrol.com/news/business/markets/ipca-labs-jumps-4-analysts-positive-after-in-line-q3-results-12286851.html,"February 16, 2024 11:28 AM IST","The IPCA stock has rallied 40 percent in the last year, outperforming the benchmark Nifty, which is up 22 percent during the period"
Polysil Irrigation Systems lists at 3.7% premium to IPO price on NSE SME,https://www.moneycontrol.com/news/business/ipo/polysil-irrigation-systems-lists-at-3-7-premium-to-ipo-price-on-nse-sme-12285251.html,"February 16, 2024 10:19 AM IST",Polysil Irrigation Systems IPO: The stock opened at Rs 56 against the issue price of Rs 54 on the NSE SME platform
Jefferies backs rally in oil marketing stocks despite margin declines,https://www.moneycontrol.com/news/business/earnings/jefferies-backs-rally-in-oil-marketing-stocks-despite-margin-declines-12285181.html,"February 16, 2024 10:19 AM IST","With a Goldilocks outlook and the expectation of OMC multiples returning to past peaks, BPCL offers the greatest margin of safety. It upgraded BPCL to Buy and increased its target price to Rs 890 a share."
"Entero Healthcare Solutions off to a weak start, lists at 2% discount to IPO price",https://www.moneycontrol.com/news/business/ipo/entero-healthcare-solutions-off-to-a-weak-start-lists-at-2-discount-to-ipo-price-12284751.html,"February 16, 2024 10:18 AM IST","Entero Healthcare Solutions IPO: The shares opened at Rs 1,228.7 on NSE and Rs 1,245 on BSE against the issue price of Rs 1,258"
"Medi Assist Q3 earnings flat, but future looks promising",https://www.moneycontrol.com/news/business/earnings/medi-assist-q3-earnings-flat-but-future-looks-promising-12285221.html,"February 16, 2024 09:53 AM IST",Insurers are increasingly depending on TPAs and that augurs well for the company
"Sensex, Nifty rise on positive global cues; analysts await next trigger for further upside",https://www.moneycontrol.com/news/business/markets/sensex-nifty-rise-on-positive-global-cues-analysts-await-next-trigger-for-further-upside-12285191.html,"February 16, 2024 10:19 AM IST",Experts expect markets to behave in a range-bound manner for the next few sessions until a clear catalyst emerges
Dilip Buildcon hits 52-week high after JV declared lowest bidder for Rs 412.9-cr MP project,https://www.moneycontrol.com/news/business/stocks/dilip-buildcon-hits-52-week-high-after-jv-declared-lowest-bidder-for-rs-412-9-cr-mp-project-12282981.html,"February 16, 2024 09:58 AM IST",The project tis for construction of Machhrewa Irrigation Project Dam and pressurized pipe irrigation network on turnkey basis.
KPI Green Energy shares locked in 5% upper circuit on bagging solar power project,https://www.moneycontrol.com/news/business/stocks/kpi-green-energy-shares-locked-in-5-upper-circuit-on-bagging-solar-power-project-12282951.html,"February 16, 2024 09:58 AM IST",The company posted a 47 percent rise in consolidated net profit to Rs 50.60 crore in the December quarter
Paytm stock erases early losses; rises 5% to hit upper circuit,https://www.moneycontrol.com/news/business/markets/paytm-shares-fall-2-to-fresh-record-low-tank-23-in-last-5-days-12285111.html,"February 16, 2024 01:41 PM IST","Paytm has now lost about Rs 27,000 crore or 57 percent of its value in the last 11 trading days since the trouble began after RBI's ban on the Paytm Payments Bank which also houses Paytm wallet."
Yes Bank gains despite 1.3% stake sale by Carlyle Group; stock up 13% in a month,https://www.moneycontrol.com/news/business/markets/yes-bank-gains-despite-1-3-stake-sale-by-carlyle-group-stock-up-13-in-a-month-12285001.html,"February 16, 2024 10:09 AM IST","The stock of Yes Bank has surged 13 percent in the past one month, as against 1 percent decline in the benchmark Sensex."
Medplus Health Services in red after subsidiary's store licence is suspended,https://www.moneycontrol.com/news/business/stocks/medplus-health-services-in-red-after-subsidiarys-store-licence-is-suspended-12282931.html,"February 16, 2024 09:58 AM IST",The Thane Food and Drug Administration has suspended the drug license for the store in Khopat Thane for 15 days
Q3 review: Banks cash in on robust loan demand but margin woes weigh,https://www.moneycontrol.com/news/business/earnings/q3-review-banks-cash-in-on-robust-loan-demand-but-margin-woes-weigh-12285071.html,"February 16, 2024 09:58 AM IST","While private banks’ domestic loan growth was faster than their public-sector peers, PSU lenders drove the asset quality improvement with a declining slippage ratio"
LIVE: Market set to end the week with Gains|3-Day winning streak to continue? | Opening Bell,https://www.moneycontrol.com/news/videos/business/earnings/live-market-set-to-end-the-week-with-gains3-day-winning-streak-to-continue-opening-bell-12284741.html,"February 16, 2024 09:16 AM IST","The domestic equity indices are likely to open on a positive note Friday tracking gains in global markets. Indian equities are set to extend 3-day gains.
Over the last two days, the price pattern has displayed a notably bullish trend, with the market exhibiting resilience by rallying even amidst adverse news after defending crucial support levels. There's a strong possibility of witnessing all-time highs today or, if not today, then potentially in the month. 
Moreover, there are promising signs of a bottom formation in HDFC Bank, indicating positive momentum. Significant leadership signals are evident in SBI and Reliance Industries, suggesting robust market dynamics. 
Additionally, the outlook for IT stocks is optimistic, poised to resume their upward trajectory. The Midcap Index also appears primed to achieve a fresh lifetime high. Catch Nickey Mirchandani in conversation with Subham Agarwal, Co-fund Manager, Aequitas and Osho Krishan, Sr. Analyst - Technical & Derivative Research, Angel One Ltd live on Moneycontrol"
"Data Patterns soars 8% after shares worth Rs 1,100 crore change hands",https://www.moneycontrol.com/news/business/markets/data-patterns-shares-of-rs-1100-crore-change-hands-in-block-deal-12284871.html,"February 16, 2024 10:19 AM IST","A foreign entity was the seller and the stake was bought by a clutch of foreign and domestic institutional buyers, CNBC-tV18 reported citing sources."
Weekly Tactical Pick: This private bank is a value proposition. Know why,https://www.moneycontrol.com/news/business/earnings/weekly-tactical-pick-why-this-private-bank-is-making-heads-turn-12284861.html,"February 16, 2024 10:16 AM IST",The bank is working hard to bring slippages under control and the loan growth momentum is sustained
Jeff Bezos sells another $2 billion worth of Amazon shares,https://www.moneycontrol.com/news/business/markets/jeff-bezos-sells-another-2-billion-worth-of-amazon-shares-12284461.html,"February 16, 2024 08:45 AM IST","This is the third stake sale in by Bezos in just a month, bringing the total sales value to over $6 billion"
Live: Nifty poised to clock weekly gains; Should you buy Vedanta after promoter stake sale?,https://www.moneycontrol.com/news/videos/business/earnings/live-nifty-poised-to-clock-weekly-gains-should-you-buy-vedanta-after-promoter-stake-sale-12284671.html,"February 16, 2024 08:36 AM IST","The Nifty50 reached closer to the psychological mark of 22,000. If the index manages to close decisively above 21,950, the high seen in Thursday's trade, then the next immediate resistance is expected at 22,050 and then at 22,126, the record high, experts said, adding that the 21,800-21,750 zone is expected to act as immediate support for the index and 21,500 as a crucial support area. On February 16, the BSE Sensex jumped 228 points to 72,050, while the Nifty 50 rose 71 points to 21,911 and formed a Doji candlestick pattern on the daily charts as the closing was near opening levels, indicating the tug-of-war between bulls and bears for future market trend. This morning GIFT Nifty is hinting at a start above the 22,000 mark. Overnight on Wall Street S&P 500 notched a fresh record closing high. Meanwhile in Asia Nikkei is holding above 38,000 despite the Japanese economy slipping into a technical recession. Among stocks in focus will be Axis Bank, Yes Bank, Vedanta among others. Watch for Entero Health listing at 10 am. Catch Nandita Khemka in conversation with Raja Venkatraman, Co-Founder NeoTrader & Trading Influencer and Aman Soni, Head of Operations, Prudent Equity."
Gland Pharma’s Europe acquisition leaves a bad aftertaste for investors,https://www.moneycontrol.com/news/opinion/gland-pharmas-europe-acquisition-leaves-a-bad-aftertaste-for-investors-12284401.html,"February 16, 2024 08:29 AM IST",The weak performance at Cenexi is constraining Gland Pharma’s earnings expectations
"MFs raise stakes in 70% Nifty smallcap, midcap stocks in Q3, despite caution",https://www.moneycontrol.com/news/business/markets/mfs-raise-stakes-in-70-nifty-smallcap-midcap-stocks-in-q3-despite-caution-12284331.html,"February 16, 2024 08:17 AM IST","Around 70% of stocks in Nifty MidCap 100 and Nifty SmallCap 100 indices witnessed a rise in mutual fund stakes in December 2023 quarter, according to Ace Equities data."
"Closing Bell: Nifty above 22,000, Sensex up 376 pts; auto, IT, pharma top contributors",https://www.moneycontrol.com/news/business/markets/stock-market-live-sensex-nifty-50-share-price-gift-nifty-latest-updates-16-02-2024-12284281.html,"February 16, 2024 04:12 PM IST","Sensex Today | Stock Market LIVE Updates: Among sectors, except oil & gas and power, all other indices are trading in the green with auto, capital goods, pharma, IT and realty up 1-2 percent."
Stock Market Today: Top 10 things to know before the market opens,https://www.moneycontrol.com/news/business/markets/stock-market-today-top-10-things-to-know-before-the-market-opens-233-12282941.html,"February 16, 2024 07:05 AM IST","Trends in the GIFT Nifty indicate a positive start for the broader index in India, with a gain of 62.50 points or 0.28 percent."
"HFT Scan: Citadel Securities net buyer in Hindustan Oil Exploration, Reliance Industrial Infra",https://www.moneycontrol.com/news/business/markets/hft-scan-citadel-securities-net-buyer-in-hindustan-oil-exploration-reliance-industrial-infra-12282881.html,"February 16, 2024 06:25 AM IST","Hindustan Oil Exploration, Reliance Industrial Infrastructure, and Coffee Day closed higher."
"Buzzing Stocks: Indigo, Axis Bank, Max Financial, UPL, BPCL, Vedanta, Yes Bank and others",https://www.moneycontrol.com/news/photos/business/stocks/buzzing-stocks-indigo-axis-bank-max-financial-upl-bpcl-vedanta-yes-bank-and-others-12283881.html,"February 16, 2024 06:02 AM IST","Stocks to watch: Check out the companies making headlines before the opening bell today, on February 16, 2024."
"Trade Spotlight | Your blueprint for Federal Bank, NTPC, Bank of Baroda counters today",https://www.moneycontrol.com/news/business/markets/trade-spotlight-your-blueprint-for-federal-bank-ntpc-bank-of-baroda-counters-today-12283891.html,"February 16, 2024 07:25 AM IST","NTPC formed bullish candlestick pattern on the daily timeframe with above average volumes, continuing uptrend for three days in a row. The stock traded well above all key moving averages which is a positive sign."
"Hot Stocks | Bet on Aegis Logistics, PNB, HPCL for 15-20% return in next 2-3 weeks",https://www.moneycontrol.com/news/business/markets/hot-stocks-bet-on-aegis-logistics-pnb-hpcl-for-15-20-return-in-next-2-3-weeks-12283931.html,"February 16, 2024 05:48 AM IST","Given the current chart structure, short-term volatility is anticipated. The recommendation is to consider buying Nifty 50 near the support zone of 21,550 – 21,500, targeting an upside potential ranging from 22,126 to 22,500 levels."
Bulk deals: HDFC Mutual Fund buys Rs 91 crore stake in Sudarshan Chemical Industries,https://www.moneycontrol.com/news/business/stocks/bulk-deals-hdfc-mutual-fund-buys-stake-in-sudarshan-chemical-industries-12283161.html,"February 15, 2024 09:31 PM IST",BofA Securities Europe SA acquired Rs 7.45 crore worth of shares in newly debuted Alpex Solar on February 15
"Carlyle Group sells Rs 1,056 crore worth stake in Yes Bank",https://www.moneycontrol.com/news/business/stocks/carlyle-group-sells-rs-1056-crore-worth-stake-in-yes-bank-12282831.html,"February 15, 2024 07:40 PM IST","According to data provided by BSE, Carlyle Group sold 1.35 percent stake in Yes Bank through open market transactions."
Accumulate Triveni Turbine; target of Rs 558: Asit C Mehta,https://www.moneycontrol.com/news/business/stocks/accumulate-triveni-turbine-target-of-rs-558-asit-c-mehta-12282211.html,"February 15, 2024 05:24 PM IST",Asit C Mehta recommended accumulate rating on Triveni Turbine with a target price of Rs 558 in its research report dated February 14 2024.
"More steam left in PSU stocks; will see healthy correction, says Sandeep Tandon of Quant MF",https://www.moneycontrol.com/news/business/markets/more-steam-left-in-psu-stocks-will-see-healthy-correction-says-sandeep-tandon-of-quant-mutual-fund-12282021.html,"February 15, 2024 05:16 PM IST","PSU stocks will see sharp corrections and pullbacks like the recent ones, said Sandeep Tandon."
India could become a $6 trillion economy by 2030; know its effect on markets at 'PMS AIF WORLD summit 2024',https://www.moneycontrol.com/news/business/markets/india-could-become-a-6-trillion-economy-by-2030-know-its-effect-on-markets-through-crystal-gazing-5-0-12281821.html,"February 15, 2024 07:40 PM IST","As the Indian economy is poised for strong growth, and companies grow in size and scale, there is optimism that the capital market will continue to boom over the next few years."
Gainers and Losers: 10 stocks that moved the most on February 15,https://www.moneycontrol.com/news/photos/business/stocks/gainers-and-losers-10-stocks-that-moved-the-most-on-february-15-12281441.html,"February 15, 2024 04:08 PM IST","All sectors ended up in the green except FMCG and Pharma. The Nifty PSU bank index was the biggest gainer, rising 3.27 percent"
"Taking Stock: Market extends gains for 3rd day; Nifty above 21,900, Sensex up 228 points",https://www.moneycontrol.com/news/business/markets/taking-stock-market-extends-gains-for-3rd-day-nifty-above-21900-sensex-up-228-points-12280981.html,"February 15, 2024 04:13 PM IST","The Nifty Bank index recovered from the day's low of 45,590.20 to end 0.7 percent higher at 46,218.90."
"Axis Bank shares fall 2% as Swamy moves court alleging Rs 5,100-crore scam",https://www.moneycontrol.com/news/business/stocks/axis-bank-shares-fall-2-as-subramanian-swamy-moves-court-alleging-rs-5100-crore-scam-12280361.html,"February 15, 2024 03:40 PM IST",Subramanian Swamy  has alleged that Axis Bank unlawfully gained by transacting in the shares of Max Life Insurance
5 reasons why foreign investors cannot ignore India investment opportunity: Quantum AMC explains,https://www.moneycontrol.com/news/business/stocks/5-reasons-why-foreign-investors-cannot-ignore-india-investment-opportunity-quantum-amc-explains-12274781.html,"February 15, 2024 03:28 PM IST","While there were some outflows recently, going forward, Quantum's Chirag Mehta thinks that flows will increase significantly in India from here on."
Aster DM surges 8% to all-time high; stock up 119% in a year,https://www.moneycontrol.com/news/business/markets/aster-dm-surges-8-to-new-52-week-high-stock-up-119-in-a-year-12280081.html,"February 15, 2024 03:16 PM IST",Aster DM Healthcare on February 9 reported its first increase in quarterly profit since the first quarter of FY23 on the back of strong performance in the company's domestic hospitals segment.
"Sensex, Nifty extend gains on firm global cues; hunt on for next trigger",https://www.moneycontrol.com/news/business/markets/sensex-nifty-extend-gains-on-firm-global-cues-hunt-on-for-next-trigger-12279381.html,"February 15, 2024 03:46 PM IST",Broader markets outperform the benchmarks. Nifty midcap 100 and smallcap 100 indices gain a percent each
Buy Hindalco Industries; target of Rs 597: Prabhudas Lilladher,https://www.moneycontrol.com/news/business/stocks/buy-hindalco-industries-target-of-rs-597-prabhudas-lilladher-12266331.html,"February 15, 2024 02:41 PM IST","Prabhudas Lilladher is bullish on Hindalco Industries has recommended buy rating on the stock with a target price of Rs 597 in its research report dated February 13, 2024."
Accumulate Cera Sanitaryware; target of Rs 8486: Prabhudas Lilladher,https://www.moneycontrol.com/news/business/stocks/accumulate-cera-sanitaryware-target-of-rs-8486-prabhudas-lilladher-12266361.html,"February 15, 2024 02:40 PM IST","Prabhudas Lilladher recommended accumulate rating on Cera Sanitaryware with a target price of Rs 8486 in its research report dated February 13, 2024."
Accumulate Aurobindo Pharma; target of Rs 1120: Prabhudas Lilladher,https://www.moneycontrol.com/news/business/stocks/accumulate-aurobindo-pharma-target-of-rs-1120-prabhudas-lilladher-12266371.html,"February 15, 2024 02:40 PM IST","Prabhudas Lilladher recommended accumulate rating on Aurobindo Pharma with a target price of Rs 1120 in its research report dated February 13, 2024."
Accumulate Eicher Motors; target of Rs 4100: Prabhudas Lilladher,https://www.moneycontrol.com/news/business/stocks/accumulate-eicher-motors-target-of-rs-4100-prabhudas-lilladher-12266391.html,"February 15, 2024 02:24 PM IST","Prabhudas Lilladher recommended accumulate rating on Eicher Motors with a target price of Rs 4100 in its research report dated February 13, 2024."
Sterlite Tech shares up 6% on partnership with BAPS Abu Dhabi temple,https://www.moneycontrol.com/news/business/markets/sterlite-tech-shares-up-6-on-partnership-with-baps-abu-dhabi-temple-12278021.html,"February 15, 2024 02:41 PM IST","The optical and digital solutions company will be responsible for end-to-end premise connectivity in the temple, which was inaugurated by PM Modi a day earlier"
"Paytm pains far from over, but Sandeep Tandon of Quant MF sees digital banking new reality",https://www.moneycontrol.com/news/business/markets/paytm-pains-far-from-over-but-sandeep-tandon-of-quant-mf-sees-digital-banking-new-reality-12279401.html,"February 15, 2024 02:40 PM IST","On January 31, the RBI placed restrictions on Paytm Payments Bank, saying the actions were warranted by “persistent non-compliances and continued material supervisory concerns in the bank”"
"Nifty, Sensex unfazed by SC electoral bonds verdict, valuations & earnings a bigger worry: Experts",https://www.moneycontrol.com/news/business/markets/nifty-sensex-unfazed-by-sc-electoral-bonds-verdict-valuations-earnings-a-bigger-worry-experts-12278371.html,"February 15, 2024 02:12 PM IST","Despite the fear that Supreme Court verdict can add to volatility and uncertainty ahead of elections, fund managers say earnings, geopolitical issues and the Red Sea crisis are the main triggers to watch out for"
MIC Electronics zooms 10% on developing EV battery charger,https://www.moneycontrol.com/news/business/markets/mic-electronics-zooms-10-on-developing-ev-battery-charger-12277981.html,"February 15, 2024 01:25 PM IST",The company says the charger will be launched shortly and commercial operations will begin in March
Accumulate Siemens; target of Rs 4572: Prabhudas Lilladher,https://www.moneycontrol.com/news/business/stocks/accumulate-siemens-target-of-rs-4572-prabhudas-lilladher-12266401.html,"February 15, 2024 12:37 PM IST","Prabhudas Lilladher recommended accumulate rating on Siemens with a target price of Rs 4572 in its research report dated February 13, 2024."
Oil India shares zoom 15% to new high on strong production outlook,https://www.moneycontrol.com/news/business/markets/oil-india-shares-zoom-15-to-new-high-on-strong-production-outlook-12276811.html,"February 15, 2024 11:52 AM IST","Oil India reported a marginal increase year-on-year in consolidated net profit at Rs 2,608 crore in the December quarter. The state-run oil producer's revenue from operations rose 3 percent YoY to Rs 10,912.61 crore."
IRCTC Q3 FY24 – Valuation running faster than the train,https://www.moneycontrol.com/news/business/companies/irctc-q3-fy24-valuation-running-faster-than-the-train-12276241.html,"February 15, 2024 11:28 AM IST","With limited growth opportunity in high-margin internet ticketing, we see modest earnings growth ahead"
Bumper Debut | Alpex Solar stock lists at 186% premium to IPO price on NSE SME,https://www.moneycontrol.com/news/business/ipo/bumper-debut-alpex-solar-stock-lists-at-186-premium-to-ipo-price-on-nse-sme-12276331.html,"February 15, 2024 11:31 AM IST",Alpex Solar IPO: The stock opened at Rs 329 against the issue price of Rs 115 on the NSE SME platform
IRCON International Q3: Strong execution capabilities visible,https://www.moneycontrol.com/news/business/earnings/ircon-international-q3-strong-execution-capabilities-visible-12275801.html,"February 15, 2024 11:38 AM IST","Robust rail and highway capex will boost the order book; however, competitive intensity and delay in execution will have to be watched"
Rudra Gas Enterprise lists at 90% premium over issue price on BSE SME,https://www.moneycontrol.com/news/business/ipo/rudra-gas-enterprise-lists-at-90-premium-over-issue-price-on-bse-sme-12275781.html,"February 15, 2024 10:46 AM IST",Rudra Gas Enterprise IPO: The stock opened at Rs 119.7 against the issue price of Rs 63 on the BSE SME
"Buy EURINR; target of : 89.40 : February 15, 2024: ICICI Direct",https://www.moneycontrol.com/news/currency/buy-eurinr-target-of-89-40-february-15-2024-icici-direct-12275831.html,"February 15, 2024 10:50 AM IST","ICICI Direct, Euro gained by 0.18% yesterday amid weak dollar and optimistic global market sentiments."
Narayana Hrudayalaya down 4%,https://www.moneycontrol.com/news/business/stocks/narayana-hrudayalaya-down-4-12273881.html,"February 15, 2024 10:31 AM IST",Narayana Hrudayalaya reported a 22 percent year-on-year increase in profit at Rs 88 crore
